中文句子,正確泰文句子,選項1,選項2,選項3,選項4
你要去哪裡？,คุณจะไปไหนครับ,คุณชอบดูหนังไทยไหม,วันนี้แม่ไม่กินไก่,คุณจะไปซื้อที่ไหนครับ,คุณจะไปไหนครับ
我將會去學校。,ฉันจะไปโรงเรียนค่ะ,คุณชอบดูหนังไทยไหม,สมุดของนักเรียน,ฉันจะไปโรงเรียนค่ะ,นี่คือสมุดค่ะ
你是老師嗎？,คุณเป็นครูใช่ไหมครับ,พ่อจะไปบ้านของปู่,คุณเป็นครูใช่ไหมครับ,เพื่อนของผมกลับมาจากเมืองไทย,เราเจอกันที่ร้านอาหารไทย
是的。,ใช่ค่ะ,สมุดของนักเรียนค่ะ ฉันไปทำงานก่อน แล้วเจอกันค่ะ,ใช่ค่ะ,ผมชอบดูหนังจีน,ฉันจะไปโรงเรียนค่ะ
這是甚麼？,นี่คืออะไรครับ,พ่อจะไปบ้านของปู่,เมื่อไหร่คุณจะไปซื้อของครับ,ผมชอบดูหนังจีน,นี่คืออะไรครับ
這是習作。,นี่คือสมุดค่ะ,แล้วเจอกันครับ,นี่คือสมุดค่ะ,ผมชอบดูหนังจีน,คุณจะไปยังไงครับ
是誰的習作？,สมุดของใครครับ,คุณจะไปซื้อที่ไหนครับ,คุณชอบอ่านหนังสือจริงๆ,ฉันจะไปโรงเรียนค่ะ,สมุดของใครครับ
是學生的習作，我先去工作再見,สมุดของนักเรียนค่ะ ฉันไปทำงานก่อน แล้วเจอกันค่ะ,ฉันจะซื้อขนมไทยค่ะ,คุณชอบกินของว่างไหม,สมุดของนักเรียนค่ะ ฉันไปทำงานก่อน แล้วเจอกันค่ะ,ผมชอบดูหนังจีน
再見。,แล้วเจอกันครับ,ทำไมพ่อวันนี้ไม่ดูทีวี,แล้วเจอกันครับ,นั่นคืออะไร,คุณชอบกินของว่างไหม
你何時去買東西？,เมื่อไหร่คุณจะไปซื้อของครับ,เมื่อไหร่คุณจะไปซื้อของครับ,ฉันจะเดินไป,ใช่ค่ะ,ฉันจะไปโรงเรียนค่ะ
你會去哪裡買？,คุณจะไปซื้อที่ไหนครับ,หนังสือเล่มนั้นของคุณใช่ไหม,คุณจะไปซื้อที่ไหนครับ,นี่คืออะไรครับ,เราเจอกันที่ร้านอาหารไทย
我會去附近的商場買。,ฉันจะไปซื้อที่ห้างใกล้ๆค่ะ,ทำไมพ่อวันนี้ไม่ดูทีวี,ฉันจะไปห้าเพื่อน,คุณจะซื้ออะไรครับ,ฉันจะไปซื้อที่ห้างใกล้ๆค่ะ
你會買什麼？,คุณจะซื้ออะไรครับ,คุณจะซื้ออะไรครับ,เพื่อนของผมกลับมาจากเมืองไทย,ผมชอบดูหนังจีน,สมุดของนักเรียน
我會買泰國小吃。,ฉันจะซื้อขนมไทยค่ะ,พี่วันนี้จะไม่ไปทำงาน,ฉันจะซื้อขนมไทยค่ะ,ใช่ค่ะ,ตอนนี้พี่ชายไม่ดูทีวี
你會怎樣去。,คุณจะไปยังไงครับ,คุณจะไปยังไงครับ,คุณชอบกินของว่างไหม,ฉันจะซื้อขนมไทยค่ะ,ใช่ค่ะ
我將會行去。,ฉันจะเดินไปค่ะ,นี่คืออะไรครับ,วันนี้แม่ไม่กินไก่,ฉันจะเดินไปค่ะ,เราเจอกันที่ร้านอาหารไทย
